%y	100	400	1000	3200	5000	7500	10000
0	0	0	0	0	0	0	0
0.001489	-0.0011292	-0.0024588	-0.0060429	-0.016303	-0.023052	-0.030812	-0.03669
0.0032757	-0.002474	-0.0053849	-0.013182	-0.035216	-0.049536	-0.065925	-0.078137
0.0032758	-0.002474	-0.0053849	-0.013182	-0.035216	-0.049536	-0.065925	-0.078137
0.0032758	-0.002474	-0.0053849	-0.013183	-0.035216	-0.049536	-0.065926	-0.078138
0.0056421	-0.0042376	-0.0092185	-0.022448	-0.059147	-0.082547	-0.10902	-0.12814
0.008136	-0.0060737	-0.013207	-0.031966	-0.082817	-0.11435	-0.14918	-0.17308
0.0087982	-0.006561	-0.014266	-0.034493	-0.089098	-0.12278	-0.15984	-0.18498
0.0091497	-0.0068152	-0.014818	-0.035786	-0.092115	-0.12663	-0.16437	-0.18969
0.013675	-0.010086	-0.021917	-0.052404	-0.13088	-0.1762	-0.2229	-0.25072
0.018803	-0.013709	-0.029787	-0.070347	-0.16894	-0.22146	-0.27148	-0.29741
0.019829	-0.014433	-0.031358	-0.073924	-0.17647	-0.23038	-0.28101	-0.30653
0.021568	-0.015625	-0.033952	-0.079617	-0.18696	-0.24165	-0.29137	-0.31524
0.027521	-0.019706	-0.042832	-0.099136	-0.22321	-0.28072	-0.3275	-0.34575
0.03051	-0.021703	-0.047207	-0.10846	-0.23902	-0.29672	-0.3408	-0.3559
0.039214	-0.027434	-0.059768	-0.13469	-0.28203	-0.33927	-0.37429	-0.38011
0.040555	-0.028302	-0.061683	-0.13863	-0.28826	-0.3452	-0.37865	-0.38304
0.044102	-0.030556	-0.066682	-0.14868	-0.30352	-0.35877	-0.38737	-0.38818
0.048972	-0.033655	-0.073538	-0.16248	-0.32461	-0.37776	-0.39983	-0.39566
0.050619	-0.034684	-0.075829	-0.167	-0.33115	-0.38296	-0.40242	-0.39697
0.056422	-0.038269	-0.083875	-0.18274	-0.35249	-0.39819	-0.40838	-0.39968
0.060208	-0.040568	-0.089076	-0.19279	-0.36493	-0.40529	-0.40986	-0.40016
0.064713	-0.043283	-0.095233	-0.20463	-0.3793	-0.41323	-0.41126	-0.4005
0.071776	-0.047453	-0.10491	-0.22294	-0.39475	-0.41613	-0.41017	-0.39797
0.076535	-0.050245	-0.11137	-0.23518	-0.40509	-0.41804	-0.40937	-0.39622
0.082848	-0.053869	-0.12001	-0.2511	-0.41049	-0.41705	-0.40499	-0.39069
0.088078	-0.056859	-0.12712	-0.26416	-0.41514	-0.41629	-0.4014	-0.38613
0.090618	-0.058289	-0.1306	-0.27025	-0.4159	-0.41501	-0.39898	-0.3834
0.099152	-0.063049	-0.14226	-0.29045	-0.41692	-0.40937	-0.38989	-0.3737
0.10352	-0.065455	-0.14827	-0.3002	-0.41585	-0.40507	-0.38435	-0.36835
0.10718	-0.067461	-0.15329	-0.30835	-0.41488	-0.40144	-0.37972	-0.36389
0.11797	-0.073343	-0.16836	-0.33039	-0.40733	-0.38778	-0.36636	-0.35183
0.11836	-0.073553	-0.1689	-0.33116	-0.40703	-0.38727	-0.36588	-0.35141
0.13232	-0.081003	-0.18834	-0.35479	-0.3924	-0.36897	-0.35023	-0.33737
0.13278	-0.081249	-0.189	-0.35546	-0.39181	-0.36839	-0.34975	-0.33694
0.14811	-0.089345	-0.21051	-0.37329	-0.37047	-0.35036	-0.33471	-0.32306
0.14849	-0.089544	-0.21104	-0.37366	-0.36994	-0.34994	-0.33435	-0.32273
0.15143	-0.091081	-0.2151	-0.37532	-0.3661	-0.34694	-0.33164	-0.32013
0.16292	-0.097066	-0.2309	-0.38193	-0.35102	-0.33516	-0.32101	-0.30994
0.16554	-0.098426	-0.23436	-0.38226	-0.34802	-0.3327	-0.31867	-0.30763
0.17706	-0.10434	-0.24956	-0.38366	-0.33481	-0.32193	-0.3084	-0.2975
0.18852	-0.11035	-0.26422	-0.38011	-0.32358	-0.31181	-0.29825	-0.28744
0.19472	-0.1135	-0.27174	-0.3779	-0.3175	-0.30627	-0.2927	-0.28193
0.20355	-0.11807	-0.28123	-0.37091	-0.3096	-0.2985	-0.28488	-0.27427
0.21492	-0.12388	-0.29347	-0.36202	-0.2994	-0.28848	-0.27481	-0.26441
0.22219	-0.12771	-0.29999	-0.35401	-0.2931	-0.28209	-0.26849	-0.25828
0.237	-0.13513	-0.31158	-0.3373	-0.28011	-0.26892	-0.25552	-0.24571
0.25451	-0.14425	-0.32106	-0.31515	-0.2647	-0.25337	-0.2404	-0.23108
0.25979	-0.14682	-0.32328	-0.30852	-0.25999	-0.24863	-0.2358	-0.22663
0.27567	-0.15484	-0.3256	-0.2889	-0.24566	-0.23456	-0.22217	-0.2134
0.28318	-0.15857	-0.32675	-0.27961	-0.23889	-0.22792	-0.21574	-0.20715
0.28562	-0.15984	-0.32643	-0.27678	-0.23668	-0.22578	-0.21367	-0.20514
0.30669	-0.16975	-0.32155	-0.25281	-0.21753	-0.20731	-0.19575	-0.18771
0.31778	-0.17511	-0.31595	-0.24115	-0.20762	-0.19781	-0.18654	-0.17874
0.32969	-0.18024	-0.30912	-0.2287	-0.19687	-0.18752	-0.17658	-0.16904
0.35111	-0.18953	-0.29148	-0.20751	-0.17738	-0.16901	-0.15874	-0.15163
0.35231	-0.18998	-0.29046	-0.20632	-0.17628	-0.16797	-0.15774	-0.15065
0.35515	-0.19102	-0.28755	-0.20359	-0.17369	-0.16551	-0.1554	-0.14837
0.37469	-0.19811	-0.26734	-0.18474	-0.15581	-0.14851	-0.1392	-0.13258
